Date,Revenue,year,month,weekday,quarter,day_of_month,Revenue_lag_1,Revenue_lag_7,Revenue_lag_14,Revenue_lag_28,Revenue_rolling_mean_7,Revenue_rolling_mean_28,Revenue_rolling_std_7,Revenue_rolling_std_28,sessions_lag_1,sessions_lag_7,page_views_lag_1,page_views_lag_7,bounce_rate_rolling_7,avg_session_duration_rolling_7,promo_line_share_lag_1,total_discount_amount_lag_1,total_orders_lag_1,cancelled_share_lag_1,delivered_share_lag_1,inventory_month_key,fill_rate_prev_month,stockout_share_prev_month,potential_revenue_lost_prev_month
22/1/13,3538734.12,2013,1,Tuesday,1,22,4100379.42,2536405.93,2449700.42,0,2536992.666,0,735319.1291,0,10339,8102,40661,39490,0.004815714,228.9285714,0,0,148,0.067567568,0.810810811,2012-12,0.950556125,0.703786192,645832.5207
23/1/13,2836455.88,2013,1,Wednesday,1,23,3538734.12,1849789.43,2049715.7,0,2680182.407,0,827055.8035,0,10100,9373,39597,37034,0.0049,219.7857143,0,0,128,0.078125,0.859375,2012-12,0.950556125,0.703786192,645832.5207
24/1/13,2522924.71,2013,1,Thursday,1,24,2836455.88,2173214.95,2794331.46,0,2821134.757,0,741611.2818,0,9307,9819,39117,48840,0.004907143,214,0,0,114,0.105263158,0.780701754,2012-12,0.950556125,0.703786192,645832.5207
25/1/13,2823082.71,2013,1,Friday,1,25,2522924.71,2099249.56,2343077.25,0,2871093.294,0,701377.4456,0,9698,10041,36976,35761,0.004918571,211.4142857,0,0,108,0.074074074,0.814814815,2012-12,0.950556125,0.703786192,645832.5207
26/1/13,2312290.79,2013,1,Saturday,1,26,2823082.71,2477132.79,2814596.53,0,2974498.03,0,616886.864,0,10600,8746,42453,33440,0.004741429,213.3571429,0,0,123,0.06504065,0.796747967,2012-12,0.950556125,0.703786192,645832.5207
27/1/13,3818881.29,2013,1,Sunday,1,27,2312290.79,2522776.58,2919719.62,0,2950949.173,0,641685.3881,0,10226,10270,42655,35184,0.00477,216.5571429,0,0,107,0.065420561,0.803738318,2012-12,0.950556125,0.703786192,645832.5207
28/1/13,5008712.77,2013,1,Monday,1,28,3818881.29,4100379.42,3077677.28,0,3136106.989,0,683197.2991,0,8604,10339,44601,40661,0.004845714,207.8,0,0,152,0.052631579,0.848684211,2012-12,0.950556125,0.703786192,645832.5207
29/1/13,4833870.43,2013,1,Tuesday,1,29,5008712.77,3538734.12,2536405.93,5304546.99,3265868.896,2814279.706,936261.655,856694.1088,9701,10100,51697,39597,0.004871429,222.8571429,0,0,207,0.115942029,0.777777778,2012-12,0.950556125,0.703786192,645832.5207
30/1/13,4296295.37,2013,1,Wednesday,1,30,4833870.43,2836455.88,1849789.43,1606940.44,3450888.369,2797469.829,1110860.272,809329.2382,8638,9307,42663,39117,0.004621429,229.9,0,0,214,0.074766355,0.799065421,2012-12,0.950556125,0.703786192,645832.5207
31/1/13,3378679.46,2013,1,Thursday,1,31,4296295.37,2522924.71,2173214.95,2281680.01,3659436.867,2893518.219,1113313.496,822286.3922,8596,9698,30451,36976,0.00454,219.9,0,0,185,0.048648649,0.816216216,2012-12,0.950556125,0.703786192,645832.5207
1/2/13,4073777.92,2013,2,Friday,1,1,3378679.46,2823082.71,2099249.56,2376895.46,3781687.546,2932696.771,1009896.85,818178.627,8915,10600,47230,42453,0.004312857,214.9,0.109375,23227.14,167,0.101796407,0.748502994,2013-01,0.966036643,0.638297872,479275.6916
2/2/13,2351969.75,2013,2,Saturday,1,2,4073777.92,2312290.79,2477132.79,2509462.77,3960358.29,2993299.716,918538.7667,838087.6422,15758,10226,63433,42655,0.004347143,203.6285714,0.191256831,41247.87,163,0.104294479,0.809815951,2013-01,0.966036643,0.638297872,479275.6916
3/2/13,2743224.75,2013,2,Sunday,1,3,2351969.75,3818881.29,2522776.58,2603356.52,3966026.713,2987674.965,906719.6452,841974.625,15027,8604,56597,44601,0.004095714,198.3,0.297619048,37784.43,80,0.05,0.8625,2013-01,0.966036643,0.638297872,479275.6916
4/2/13,3599084.22,2013,2,Monday,1,4,2743224.75,5008712.77,4100379.42,3048100.39,3812361.493,2992670.259,1019897.459,840022.7251,14372,9701,72606,51697,0.003918571,197.3142857,0.450819672,83847.85,102,0.068627451,0.852941176,2013-01,0.966036643,0.638297872,479275.6916
5/2/13,3829186.14,2013,2,Tuesday,1,5,3599084.22,4833870.43,3538734.12,2449700.42,3610985.986,3012348.253,872879.4408,847786.9658,15623,8638,62972,42663,0.004028571,188.2571429,0.517857143,106577.48,151,0.079470199,0.80794702,2013-01,0.966036643,0.638297872,479275.6916
6/2/13,2313071.08,2013,2,Wednesday,1,6,3829186.14,4296295.37,2836455.88,2049715.7,3467459.659,3061615.6,704684.0197,853939.4963,14177,8596,62917,30451,0.004171429,165.2428571,0.44966443,87723.17,133,0.135338346,0.729323308,2013-01,0.966036643,0.638297872,479275.6916
7/2/13,2839296.13,2013,2,Thursday,1,7,2313071.08,3378679.46,2522924.71,2794331.46,3184141.903,3071021.15,714520.714,843771.1292,14103,8915,66736,47230,0.004132857,181.3428571,0.538461538,56253.24,87,0.126436782,0.770114943,2013-01,0.966036643,0.638297872,479275.6916
8/2/13,2648161.4,2013,2,Friday,1,8,2839296.13,4073777.92,2823082.71,2343077.25,3107087.141,3072627.031,719114.1306,843267.663,14761,15758,66344,63433,0.004355714,192.9285714,0.429824561,68294.73,101,0.089108911,0.811881188,2013-01,0.966036643,0.638297872,479275.6916
9/2/13,2957587.36,2013,2,Saturday,1,9,2648161.4,2351969.75,2312290.79,2814596.53,2903427.639,3083522.893,589990.4265,835426.5605,14467,15027,59452,56597,0.004555714,208.7,0.49122807,78995.83,100,0.07,0.83,2013-01,0.966036643,0.638297872,479275.6916
10/2/13,3380985.73,2013,2,Sunday,1,10,2957587.36,2743224.75,3818881.29,2919719.62,2989944.44,3088629.709,537736.5516,834157.8513,14578,14372,47223,72606,0.004781429,212.8142857,0.536764706,101123.63,122,0.081967213,0.803278689,2013-01,0.966036643,0.638297872,479275.6916
11/2/13,4189315.44,2013,2,Monday,1,11,3380985.73,3599084.22,5008712.77,3077677.28,3081053.151,3105103.498,542970.3334,835252.552,16602,15623,61322,62972,0.00472,210.5,0.53164557,117723.29,139,0.09352518,0.827338129,2013-01,0.966036643,0.638297872,479275.6916
12/2/13,3967295.55,2013,2,Tuesday,1,12,4189315.44,3829186.14,4833870.43,2536405.93,3165371.897,3144804.861,668209.3302,859954.6516,15063,14177,60064,62917,0.004722857,214.6,0.535211268,133895.98,187,0.080213904,0.807486631,2013-01,0.966036643,0.638297872,479275.6916
13/2/13,3156812.35,2013,2,Wednesday,1,13,3967295.55,2313071.08,4296295.37,1849789.43,3185101.813,3195908.062,692667.4963,864962.2709,15368,14103,65858,66736,0.004628571,218.0571429,0.5,120977.03,163,0.122699387,0.766871166,2013-01,0.966036643,0.638297872,479275.6916
14/2/13,3286622.13,2013,2,Thursday,1,14,3156812.35,2839296.13,3378679.46,2173214.95,3305636.28,3242587.452,579855.2051,823920.0515,13346,14761,50414,66344,0.004775714,204.8,0.522727273,84247.82,118,0.084745763,0.847457627,2013-01,0.966036643,0.638297872,479275.6916
15/2/13,2860640.37,2013,2,Friday,1,15,3286622.13,2648161.4,4073777.92,2099249.56,3369539.994,3282351.994,543399.0189,796820.1192,17180,14467,85934,59452,0.004614286,213.9285714,0.525641026,95073.65,142,0.084507042,0.809859155,2013-01,0.966036643,0.638297872,479275.6916
16/2/13,3339909.75,2013,2,Saturday,1,16,2860640.37,2957587.36,2351969.75,2477132.79,3399894.133,3309544.523,500639.1079,767398.379,13633,14578,74873,47223,0.004637143,215.5857143,0.450819672,68302.65,111,0.081081081,0.81981982,2013-01,0.966036643,0.638297872,479275.6916
17/2/13,3433567.61,2013,2,Sunday,1,17,3339909.75,3380985.73,2743224.75,2522776.58,3454511.617,3340357.986,463845.9614,749857.6396,15360,16602,73050,61322,0.00455,210.8285714,0.483870968,99781.09,140,0.078571429,0.757142857,2013-01,0.966036643,0.638297872,479275.6916
18/2/13,4473211.04,2013,2,Monday,1,18,3433567.61,4189315.44,3599084.22,4100379.42,3462023.314,3372886.237,462881.5673,732634.9501,14662,15063,77351,60064,0.004665714,227.3,0.597765363,126704.36,150,0.12,0.78,2013-01,0.966036643,0.638297872,479275.6916
19/2/13,4318301.23,2013,2,Tuesday,1,19,4473211.04,3967295.55,3829186.14,3538734.12,3502579.829,3386201.652,542768.9865,749539.6396,13304,15368,43820,65858,0.004732857,215.4857143,0.519607843,137268.61,183,0.071038251,0.830601093,2013-01,0.966036643,0.638297872,479275.6916
20/2/13,3392471.04,2013,2,Wednesday,1,20,4318301.23,3156812.35,2313071.08,2836455.88,3552723.497,3414043.334,605451.4881,769624.7314,16231,13346,82447,50414,0.004735714,217.1142857,0.497512438,118068.88,174,0.086206897,0.82183908,2013-01,0.966036643,0.638297872,479275.6916
21/2/13,3412803.18,2013,2,Thursday,1,21,3392471.04,3286622.13,2839296.13,2522924.71,3586389.024,3433901.019,586007.7739,761298.0401,14347,17180,75545,85934,0.00463,221.5428571,0.5,115094.65,148,0.108108108,0.777027027,2013-01,0.966036643,0.638297872,479275.6916
22/2/13,3535377.38,2013,2,Friday,1,22,3412803.18,2860640.37,2648161.4,2823082.71,3604414.889,3465682.393,577123.3257,740140.1965,14194,13633,54818,74873,0.004857143,202.0857143,0.490797546,109984.58,141,0.141843972,0.695035461,2013-01,0.966036643,0.638297872,479275.6916
23/2/13,4286140.45,2013,2,Saturday,1,23,3535377.38,3339909.75,2957587.36,2312290.79,3700805.89,3491121.488,480443.383,729398.679,15750,15360,61771,73050,0.004677143,202.1428571,0.474576271,91753.38,154,0.064935065,0.876623377,2013-01,0.966036643,0.638297872,479275.6916
24/2/13,5419232.89,2013,2,Sunday,1,24,4286140.45,3433567.61,3380985.73,3818881.29,3835981.704,3561616.119,494876.7664,706264.9074,14540,14662,61974,77351,0.004492857,200.0571429,0.52020202,141214.42,179,0.12849162,0.726256983,2013-01,0.966036643,0.638297872,479275.6916
25/2/13,9128225.25,2013,2,Monday,1,25,5419232.89,4473211.04,4189315.44,5008712.77,4119648.173,3618771.533,736081.816,787893.5622,13758,13304,63623,43820,0.004577143,176.2,0.540350877,189015.51,243,0.082304527,0.802469136,2013-01,0.966036643,0.638297872,479275.6916
26/2/13,6762535.71,2013,2,Tuesday,1,26,9128225.25,4318301.23,3967295.55,4833870.43,4784650.203,3765896.979,2045977.451,1284912.703,13676,16231,72244,82447,0.004498571,181.5285714,0.540254237,319902.46,411,0.104622871,0.795620438,2013-01,0.966036643,0.638297872,479275.6916
27/2/13,5716765.68,2013,2,Wednesday,1,27,6762535.71,3392471.04,3156812.35,4296295.37,5133826.557,3834777.881,2158596.118,1391554.498,15824,14347,60025,75545,0.004452857,180.9714286,0.587467363,285914.28,329,0.09118541,0.796352584,2013-01,0.966036643,0.638297872,479275.6916
28/2/13,4367566.41,2013,2,Thursday,1,28,5716765.68,3412803.18,3286622.13,3378679.46,5465868.649,3885508.964,2020435.536,1434240.844,15908,14194,72791,54818,0.004348571,190.3285714,0.6,253944.12,299,0.090301003,0.799331104,2013-01,0.966036643,0.638297872,479275.6916
1/3/13,2693901.21,2013,3,Friday,1,1,4367566.41,3535377.38,2860640.37,4073777.92,5602263.396,3920826.355,1886527.844,1433473.402,15284,15750,56308,61771,0.004198571,214.3285714,0.524590164,151753.65,211,0.113744076,0.819905213,2013-02,0.956055756,0.711060948,692387.4398
2/3/13,279813.94,2013,3,Saturday,1,2,2693901.21,4286140.45,3339909.75,2351969.75,5482052.514,3871545.044,2059098.591,1451624.771,20573,14540,82066,61974,0.004242857,198.1285714,0.607142857,116505.8,142,0.056338028,0.809859155,2013-02,0.956055756,0.711060948,692387.4398
3/3/13,1959484.08,2013,3,Sunday,1,3,279813.94,5419232.89,3433567.61,2743224.75,4909720.156,3797539.479,2851299.478,1579180.086,18275,13758,64834,63623,0.004355714,194.1714286,0,0,9,0.111111111,0.888888889,2013-02,0.956055756,0.711060948,692387.4398
4/3/13,1412869.43,2013,3,Monday,1,4,1959484.08,9128225.25,4473211.04,3599084.22,4415470.326,3769548.741,3041758.309,1605289.794,19075,13676,69465,72244,0.004097143,214.0285714,0,0,48,0.0625,0.833333333,2013-02,0.956055756,0.711060948,692387.4398
5/3/13,2440470.72,2013,3,Tuesday,1,5,1412869.43,6762535.71,4318301.23,3829186.14,3313276.637,3691469.641,2374008.507,1665910.664,21760,15824,112923,60025,0.004012857,217.8285714,0,0,56,0.125,0.714285714,2013-02,0.956055756,0.711060948,692387.4398
6/3/13,3247761.18,2013,3,Wednesday,1,6,2440470.72,5716765.68,3392471.04,2313071.08,2695838.781,3641872.662,1826257.276,1682250.825,21169,15908,90533,72791,0.004092857,233.9857143,0,0,83,0.084337349,0.807228916,2013-02,0.956055756,0.711060948,692387.4398
7/3/13,4017685.67,2013,3,Thursday,1,7,3247761.18,4367566.41,3412803.18,2839296.13,2343123.853,3675254.451,1311427.854,1664081.775,19422,15284,66932,56308,0.004428571,213.0571429,0,0,110,0.118181818,0.790909091,2013-02,0.956055756,0.711060948,692387.4398
8/3/13,3622255.55,2013,3,Friday,1,8,4017685.67,2693901.21,3535377.38,2648161.4,2293140.89,3717339.792,1225245.528,1657043.106,20205,20573,74215,82066,0.004561429,216.2,0,0,161,0.124223602,0.763975155,2013-02,0.956055756,0.711060948,692387.4398
9/3/13,3263371.09,2013,3,Saturday,1,9,3622255.55,279813.94,4286140.45,2957587.36,2425762.939,3752128.869,1322256.677,1643938.257,21327,18275,72483,64834,0.004685714,216.5142857,0,0,139,0.158273381,0.741007194,2013-02,0.956055756,0.711060948,692387.4398
10/3/13,3510986.19,2013,3,Sunday,1,10,3263371.09,1959484.08,5419232.89,3380985.73,2851985.389,3763049.716,941187.8656,1639474.163,20046,19075,91235,69465,0.0046,238.3571429,0,0,118,0.118644068,0.788135593,2013-02,0.956055756,0.711060948,692387.4398
11/3/13,3242639.13,2013,3,Monday,1,11,3510986.19,1412869.43,9128225.25,4189315.44,3073628.547,3767692.59,876437.0326,1638535.92,19505,21760,104073,112923,0.004611429,223.8142857,0,0,129,0.069767442,0.84496124,2013-02,0.956055756,0.711060948,692387.4398
12/3/13,3660190.99,2013,3,Tuesday,1,12,3242639.13,2440470.72,6762535.71,3967295.55,3335024.219,3733882.722,483218.5643,1639280.638,21480,21169,115544,90533,0.004554286,236.9428571,0,0,134,0.074626866,0.798507463,2013-02,0.956055756,0.711060948,692387.4398
13/3/13,4335373.37,2013,3,Wednesday,1,13,3660190.99,3247761.18,5716765.68,3156812.35,3509269.971,3722914.702,286931.3147,1638688.362,16857,19422,82314,66932,0.004562857,222.0857143,0,0,149,0.10738255,0.785234899,2013-02,0.956055756,0.711060948,692387.4398
14/3/13,6692797.3,2013,3,Thursday,1,14,4335373.37,4017685.67,4367566.41,3286622.13,3664643.141,3765006.167,395611.6993,1638745.164,23166,20205,76524,74215,0.004355714,242.5428571,0,0,181,0.110497238,0.779005525,2013-02,0.956055756,0.711060948,692387.4398
15/3/13,5330057.69,2013,3,Friday,1,15,6692797.3,3622255.55,2693901.21,2860640.37,4046801.946,3886655.28,1222143.801,1726019.459,18997,21327,77150,72483,0.004392857,217.0428571,0,0,245,0.130612245,0.751020408,2013-02,0.956055756,0.711060948,692387.4398
16/3/13,3591734.21,2013,3,Saturday,1,16,5330057.69,3263371.09,279813.94,3339909.75,4290773.68,3974848.756,1291747.075,1734719.351,20137,20046,106673,91235,0.004092857,223.2428571,0,0,207,0.06763285,0.826086957,2013-02,0.956055756,0.711060948,692387.4398
17/3/13,4401297.64,2013,3,Sunday,1,17,3591734.21,3510986.19,1959484.08,3433567.61,4337682.697,3983842.486,1253618.758,1731956.156,20761,19505,90756,104073,0.004217143,214.7,0,0,138,0.072463768,0.84057971,2013-02,0.956055756,0.711060948,692387.4398
18/3/13,4567013.37,2013,3,Monday,1,18,4401297.64,3242639.13,1412869.43,4473211.04,4464870.047,4018404.273,1199773.821,1730223.357,17101,21480,79841,115544,0.004202857,211.3571429,0,0,172,0.13372093,0.76744186,2013-02,0.956055756,0.711060948,692387.4398
19/3/13,4645433.62,2013,3,Tuesday,1,19,4567013.37,3660190.99,2440470.72,4318301.23,4654066.367,4021754.356,1072595.096,1731227.095,22860,16857,120159,82314,0.00417,193.9571429,0.20083682,70081.5,203,0.123152709,0.822660099,2013-02,0.956055756,0.711060948,692387.4398
20/3/13,4992105.19,2013,3,Wednesday,1,20,4645433.62,4335373.37,3247761.18,3392471.04,4794815.314,4033437.656,981187.702,1734403.405,17631,23166,85400,76524,0.004355714,199.0285714,0.571984436,305278.42,218,0.110091743,0.798165138,2013-02,0.956055756,0.711060948,692387.4398
21/3/13,7355693.45,2013,3,Thursday,1,21,4992105.19,6692797.3,4017685.67,3412803.18,4888634.146,4090567.447,961127.6729,1738848.151,21762,18997,116234,77150,0.004577143,186.9142857,0.713768116,440738.05,246,0.069105691,0.796747967,2013-02,0.956055756,0.711060948,692387.4398
22/3/13,6603332.26,2013,3,Friday,1,22,7355693.45,5330057.69,3622255.55,3535377.38,4983333.596,4231384.957,1176945.159,1838713.958,22061,20137,119803,106673,0.004602857,192.8714286,0.766756032,647755.53,322,0.086956522,0.791925466,2013-02,0.956055756,0.711060948,692387.4398
23/3/13,6009508.61,2013,3,Saturday,1,23,6603332.26,3591734.21,3263371.09,4286140.45,5165229.963,4340954.774,1328142.406,1886492.098,20729,20761,71130,90756,0.004638571,196.3857143,1,792399.83,306,0.098039216,0.800653595,2013-02,0.956055756,0.711060948,692387.4398
24/3/13,5088153.2,2013,3,Sunday,1,24,6009508.61,4401297.64,3510986.19,5419232.89,5510626.306,4402503.637,1153660.884,1912570.615,21609,17101,92824,79841,0.00455,191.9714286,1,721141.05,246,0.117886179,0.756097561,2013-02,0.956055756,0.711060948,692387.4398
25/3/13,4694308.82,2013,3,Monday,1,25,5088153.2,4567013.37,3242639.13,9128225.25,5608748.529,4390679.362,1069741.266,1907067.497,20504,22860,96571,120159,0.004685714,202.3285714,1,610578.41,236,0.088983051,0.838983051,2013-02,0.956055756,0.711060948,692387.4398
26/3/13,5731432.22,2013,3,Tuesday,1,26,4694308.82,4645433.62,3660190.99,6762535.71,5626933.593,4232325.204,1049980.255,1668245.858,16659,17631,60697,85400,0.004645714,204.3857143,1,563317.02,216,0.083333333,0.861111111,2013-02,0.956055756,0.711060948,692387.4398
27/3/13,6872130.59,2013,3,Wednesday,1,27,5731432.22,4992105.19,4335373.37,5716765.68,5782076.25,4195500.079,956891.171,1621037.399,20555,21762,109308,116234,0.00472,208.4142857,1,687771.91,256,0.0859375,0.82421875,2013-02,0.956055756,0.711060948,692387.4398
28/3/13,8099154.93,2013,3,Thursday,1,28,6872130.59,7355693.45,6692797.3,4367566.41,6050651.307,4236763.112,962036.082,1675001.478,16879,22061,56985,119803,0.004684286,196.0714286,1,824655.68,313,0.099041534,0.750798722,2013-02,0.956055756,0.711060948,692387.4398
29/3/13,8381683.44,2013,3,Friday,1,29,8099154.93,6603332.26,5330057.69,2693901.21,6156860.09,4370034.13,1152341.854,1827320.008,18569,20729,98414,71130,0.004335714,203.1571429,1,971898.67,398,0.075376884,0.824120603,2013-02,0.956055756,0.711060948,692387.4398
30/3/13,11636994.38,2013,3,Saturday,1,30,8381683.44,6009508.61,3591734.21,279813.94,6410910.259,4573169.21,1429805.443,1946356.308,19856,21609,93944,92824,0.004597143,206.3714286,1,1005801.94,369,0.086720867,0.804878049,2013-02,0.956055756,0.711060948,692387.4398
31/3/13,9455023.8,2013,3,Sunday,1,31,11636994.38,5088153.2,4401297.64,1959484.08,7214836.797,4978782.797,2411528.161,2187017.905,21034,20504,82344,96571,0.004697143,198.6428571,1,1396439.33,544,0.075367647,0.823529412,2013-02,0.956055756,0.711060948,692387.4398
1/4/13,10313848.23,2013,4,Monday,2,1,9455023.8,4694308.82,4567013.37,1412869.43,7838675.454,5246480.644,2333246.68,2261237.832,21610,16659,74076,60697,0.004652857,192.1428571,1,1134602.73,496,0.080645161,0.822580645,2013-03,0.956995165,0.705494505,662265.6205
2/4/13,8250013.05,2013,4,Tuesday,2,2,10313848.23,5731432.22,4645433.62,2440470.72,8641466.799,5564372.744,2016282.122,2327042.272,24812,20555,117628,109308,0.004914286,190.6428571,1,1237661.74,516,0.120155039,0.790697674,2013-03,0.956995165,0.705494505,662265.6205
3/4/13,8740749.51,2013,4,Wednesday,2,3,8250013.05,6872130.59,4992105.19,3247761.18,9001264.06,5771856.399,1590131.958,2296994.089,26607,16879,99501,56985,0.004837143,191.1714286,1,990001.51,407,0.117936118,0.776412776,2013-03,0.956995165,0.705494505,662265.6205
4/4/13,4270660.8,2013,4,Thursday,2,4,8740749.51,8099154.93,7355693.45,4017685.67,9268209.62,5968034.554,1304285.043,2307977.912,26624,18569,107204,98414,0.004801429,213.9428571,1,1048889.94,448,0.089285714,0.78125,2013-03,0.956995165,0.705494505,662265.6205
5/4/13,3073716.42,2013,4,Friday,2,5,4270660.8,8381683.44,6603332.26,3622255.55,8721281.887,5977069.38,2299342.39,2300543.466,21608,19856,111095,93944,0.00509,209.8142857,1,512479.29,175,0.045714286,0.811428571,2013-03,0.956995165,0.705494505,662265.6205
6/4/13,3663196.56,2013,4,Saturday,2,6,3073716.42,11636994.38,6009508.61,3263371.09,7963000.884,5957478.696,3148454.399,2323559.454,32435,21034,158360,82344,0.004898571,217.1285714,1,368846.02,128,0.171875,0.7109375,2013-03,0.956995165,0.705494505,662265.6205
7/4/13,2924734.26,2013,4,Sunday,2,7,3663196.56,9455023.8,5088153.2,3510986.19,6823886.91,5971758.178,3038190.665,2307563.055,32500,21610,108393,74076,0.0049,215.2142857,1,439583.59,165,0.096969697,0.751515152,2013-03,0.956995165,0.705494505,662265.6205
8/4/13,4670874.28,2013,4,Monday,2,8,2924734.26,10313848.23,4694308.82,3242639.13,5890988.404,5950820.609,3097634.253,2333234.578,27260,24812,126098,117628,0.004978571,203.9571429,1,350968.14,165,0.109090909,0.787878788,2013-03,0.956995165,0.705494505,662265.6205
9/4/13,4293257.18,2013,4,Tuesday,2,9,4670874.28,8250013.05,5731432.22,3660190.99,5084849.269,6001829.007,2413503.508,2286989.942,30848,26607,155647,99501,0.004882857,195.5285714,1,560505,192,0.114583333,0.791666667,2013-03,0.956995165,0.705494505,662265.6205
